id,name,location,created_at,updated_at,cluster_id,edms_id,building_type_id,connection_type_id,location_x,location_y
1,Prosumer 01,"ΠΕΡΙΜΕΝΗ, Νέα Σμύρνη 171 22, Greece",2015-04-01 14:06:55,2015-10-07 09:39:23,94,1,3,4,37.9423022420258,23.7129592895508
2,Prosumer 02,"ΚΑΛΛΙΘΕΑ, Καλλιθέα 176 76, Greece",2015-04-01 14:06:55,2015-10-07 09:40:51,94,2,3,4,37.9567861928391,23.7026596069336
3,Prosumer 03,"ΣΠΥΡΟΥ ΠΑΤΣΗ, Αθήνα 118 55, Greece",2015-04-01 14:06:55,2015-10-07 09:42:12,94,3,3,4,37.9821938871657,23.7088394165039
4,Prosumer 04,"ΙΘΑΚΗΣ, Αθήνα 104 46, Greece",2015-04-01 14:06:55,2015-10-07 09:43:14,94,4,3,4,37.9995783719332,23.7275505065918
5,Prosumer 05,"ΚΟΚΚΙΝΑΚΗ, Αθήνα 111 43, Greece",2015-04-01 14:06:55,2015-10-07 09:44:21,94,5,3,4,38.0212186641494,23.7298250198364
6,Prosumer 06,"ΒΛΑΧΟΥ, Νέα Φιλαδέλφεια 143 42, Greece",2015-04-01 14:06:55,2015-10-07 09:45:26,94,6,3,4,38.0507270740035,23.7497806549072
7,Prosumer 07,"ΗΒΗ, Μαρούσι 151 24, Greece",2015-04-01 14:06:55,2015-10-07 09:46:16,94,7,3,4,38.0465364549993,23.8072872161865
8,Prosumer 08,"Kifisia, Greece",2015-04-01 14:06:55,2015-10-07 09:47:09,94,8,3,4,38.076271141786,23.8121795654297
9,Prosumer 09,"ΔΑΦΝΗΣ, Κηφισιά 145 64, Greece",2015-04-01 14:06:55,2015-10-07 09:48:17,94,9,3,4,38.0939035073485,23.8056135177612
10,Prosumer 10,"Diakopto, Greece",2015-04-01 14:06:55,2015-10-07 09:50:08,95,10,4,4,38.1918004985397,22.1982944011688
19,Prosumer 19,"Agios Ioannis Rentis, Greece",2015-04-01 14:06:55,2015-10-07 10:57:17,95,19,4,4,37.9612864651666,23.6662673950195
11,Prosumer 11,"Pireas, Greece",2015-04-01 14:06:55,2015-10-07 10:49:12,96,11,5,4,37.9510674038769,23.6601841449738
12,Prosumer 12,"Pireas, Greece",2015-04-01 14:06:55,2015-10-07 10:51:32,96,12,5,4,37.9510674038769,23.6601841449738
13,Prosumer 13,"ΔΡΑΚΟΥΛΙΝΑΚΟΥ, Πειραιάς 185 43, Greece",2015-04-01 14:06:55,2015-10-07 10:52:18,95,13,4,4,37.9546797676338,23.649970293045
14,Prosumer 14,"ΔΡΑΚΟΥΛΙΝΑΚΟΥ, Πειραιάς 185 43, Greece",2015-04-01 14:06:55,2015-10-07 10:53:18,95,14,4,4,37.9546797676338,23.649970293045
15,Prosumer 15,"ΔΡΑΚΟΥΛΙΝΑΚΟΥ, Πειραιάς 185 43, Greece",2015-04-01 14:06:55,2015-10-07 10:54:06,95,15,4,4,37.9546797676338,23.649970293045
16,Prosumer 16,"ΔΡΑΚΟΥΛΙΝΑΚΟΥ, Πειραιάς 185 43, Greece",2015-04-01 14:06:55,2015-10-07 10:54:52,95,16,4,4,37.9546797676338,23.649970293045
17,Prosumer 17,"Agios Ioannis Rentis, Greece",2015-04-01 14:06:55,2015-10-07 10:55:50,95,17,4,4,37.9612864651666,23.6662673950195
18,Prosumer 18,"Agios Ioannis Rentis, Greece",2015-04-01 14:06:55,2015-10-07 10:56:38,95,18,4,4,37.9612864651666,23.6662673950195
20,Prosumer 20,"Agios Ioannis Rentis, Greece",2015-04-01 14:06:55,2015-10-07 10:58:08,95,20,4,4,37.9612864651666,23.6662673950195
21,Prosumer 21,"Thessaloniki, Greece",2015-04-01 14:06:55,2015-10-07 10:58:57,95,21,4,4,40.6457429,22.925306
22,Prosumer 22,"Thessaloniki, Greece",2015-04-01 14:06:55,2015-10-07 10:59:28,95,22,4,4,40.6457429,22.925306
23,Prosumer 23,"Thessaloniki, Greece",2015-04-01 14:06:55,2015-10-07 11:00:03,95,23,4,4,40.6457429,22.925306
24,Prosumer 24,"Thessaloniki, Greece",2015-04-01 14:06:55,2015-10-07 11:00:43,95,24,4,4,40.6457429,22.925306
25,Prosumer 25,"Patras, Greece",2015-04-01 14:06:55,2015-10-07 11:02:34,95,25,4,4,38.238584610194,21.7271590232849
26,VIMSEN Prosumer 01: @myOffice,"Leof. Kifisias 44, Marousi 151 25, Greece",2016-02-05 14:06:55,2016-02-05 11:02:34,97,b827ebb47c1b,,,38.039996,23.803279
27,VIMSEN Prosumer 02: farmerVGW,"Megara 191 00, Greece",2016-02-05 14:06:55,2016-02-05 11:02:34,97,b827eb725029,,,38.0665,23.303273
29,VIMSEN Prosumer 03: George’s house,"Ag. Stefanos 145 65, Greece",2016-02-05 14:06:55,2016-02-05 11:02:34,97,b827eb4c14af,,,38.14453,23.855811
30,VIMSEN Prosumer 04: TELINT’s,"Kolokotroni, Athina 105 62, Greece",2016-02-05 14:06:55,2016-02-05 11:02:34,97,b827ebf9b703,,,37.977653,23.730874
31,VIMSEN Prosumer 05: @HEDNO,"Leof. Koropiou Markopoulou 192, Markopoulo Mesogeas 194 00, Greece",2016-02-05 14:06:55,2016-02-05 11:02:34,97,b827eb19fcf5,,,37.885854,23.916741
32,VIMSEN Prosumer 06: 14060241CH1ABC,,2016-02-05 14:06:55,2016-02-05 11:02:34,98,14060241CH1ABC,,,,
34,VIMSEN Prosumer 07: 14060241CH2ABC,,2016-02-05 14:06:55,2016-02-05 11:02:34,98,14060241CH2ABC,,,,
35,VIMSEN Prosumer 08: 14060241CH3ABC,,2016-02-05 14:06:55,2016-02-05 11:02:34,98,14060241CH3ABC,,,,
36,VIMSEN Prosumer 09: 14060241CH4ABC,,2016-02-05 14:06:55,2016-02-05 11:02:34,98,14060241CH4ABC,,,,
