id,name,description,clustering_id,created_at,updated_at
129,No ren.,No info about renewable energy.,28,2016-03-02 10:51:55 +0200,2016-03-02 10:51:55 +0200
130,CL: solar,Prosumers with primarily solar energy production,28,2016-03-02 10:51:55 +0200,2016-03-02 10:51:55 +0200
131,CL: wind,Prosumers with primarily wind energy production,28,2016-03-02 10:51:55 +0200,2016-03-02 10:51:55 +0200
132,CL: hydro,Prosumers with primarily hydro energy production,28,2016-03-02 10:51:55 +0200,2016-03-02 10:51:55 +0200
133,CL: geothermal,Prosumers with primarily geothermal energy production,28,2016-03-02 10:51:55 +0200,2016-03-02 10:51:55 +0200
134,No buil. info,No building type info.,29,2016-03-02 10:52:13 +0200,2016-03-02 10:52:13 +0200
135,CL: SME,Prosumers with SME building type.,29,2016-03-02 10:52:13 +0200,2016-03-02 10:52:13 +0200
136,CL: Industry,Prosumers with Industry building type.,29,2016-03-02 10:52:13 +0200,2016-03-02 10:52:13 +0200
137,CL: Factory,Prosumers with Factory building type.,29,2016-03-02 10:52:13 +0200,2016-03-02 10:52:13 +0200
138,No con. info.,No connection info.,30,2016-03-02 10:52:30 +0200,2016-03-02 10:52:30 +0200
139,CL: ADSL,Prosumers with ADSL connection.,30,2016-03-02 10:52:30 +0200,2016-03-02 10:52:30 +0200
151,Genetic 0,Genetic clustering 0,33,2016-03-02 11:18:37 +0200,2016-03-02 11:18:37 +0200
152,Genetic 1,Genetic clustering 1,33,2016-03-02 11:18:37 +0200,2016-03-02 11:18:37 +0200
153,Genetic 2,Genetic clustering 2,33,2016-03-02 11:18:37 +0200,2016-03-02 11:18:37 +0200
154,Genetic 3,Genetic clustering 3,33,2016-03-02 11:18:37 +0200,2016-03-02 11:18:37 +0200
155,Genetic 4,Genetic clustering 4,33,2016-03-02 11:18:37 +0200,2016-03-02 11:18:37 +0200
156,Genetic 0,Genetic clustering 0,34,2016-03-02 12:13:35 +0200,2016-03-02 12:13:35 +0200
157,Genetic 1,Genetic clustering 1,34,2016-03-02 12:13:35 +0200,2016-03-02 12:13:35 +0200
158,Genetic 2,Genetic clustering 2,34,2016-03-02 12:13:35 +0200,2016-03-02 12:13:35 +0200
159,Genetic 3,Genetic clustering 3,34,2016-03-02 12:13:36 +0200,2016-03-02 12:13:36 +0200
160,Genetic 4,Genetic clustering 4,34,2016-03-02 12:13:36 +0200,2016-03-02 12:13:36 +0200
166,Spectral 0,Spectral error clustering 0,36,2016-03-02 12:14:22 +0200,2016-03-02 12:14:22 +0200
