week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8
0	-3.9011655485050394	64.75389713344282	89.64669213062933	57.98744075239269	94.61008614427574	89.62569043444108	89.94623072205277	95.55666924945643	68.21374577394162
1	-16.252104622078082	76.0765172414187	78.48392149427853	81.33668491138378	93.73144324100913	80.61680843091402	92.03896720396489	91.7654476071743	93.00160994510343
2	14.817156907103717	60.995999352723565	85.36933685641918	-24.249111541125632	91.86374597407627	95.43994370301291	68.4821232884093	91.95475175734208	87.83440259546155
3	43.782728995793796	74.04909828439652	-34321.31655759104	69.9413013284851	91.51483379147426	96.89369816558646	96.47687478475932	93.97663771705267	93.17422503892004
4	71.99435035636527	85.08954437397173	-5994807.866106916	84.79580857955457	94.80556246874342	95.26432619458267	93.51083265080888	94.06100460158548	93.81863338803358
5	93.92678075312243	82.26367899215766	-Infinity	91.08882667315413	95.50885210972702	91.8451391074791	93.85498769171342	93.90959317015911	92.84089350512834
6	90.40967584941257	94.40988723008262	-3852934.2419511313	95.53110089234858	98.12553837835496	98.19238416237759	94.7005303724432	99.06374067328971	95.77848529211433
7	13.545848585421272	50.627731372127826	-2208.9520757327505	53.360871618585456	81.69927781027562	75.67828324180404	-3.1292138493806547	70.98261777294678	82.56636317428485
8	-19.360028546463226	40.11724785628176	36.16206888586743	76.17288456324013	82.38661960256799	62.34930388894239	66.49506161598215	86.23188998295952	59.84988521794465
9	0.992943602947088	66.61468135016806	-1318.39520797541	91.9588954923602	92.26183206967015	90.74840781917129	61.7301230709535	93.44272291446899	65.48442169078606
